U,W,F,M,n_etfs,n_factors,S,C,D,calmar,monthly_win,n_signals,r_bear_22_sharpe,r_bear_24_sharpe,r_range_21_sharpe,r_range_23_sharpe,r_bull_1920_sharpe,source,M2,model,wall,factor,key
12ETF,w2022,+shibor,ElasticNet(a=0.01),12.0,3.0,0.5302967333857811,0.0796197804324376,-0.1924639375335484,0.413686748035897,0.5238095238095238,35.0,,0.5938590479423501,,-0.5876489823564439,,v3,ElasticNet,ElasticNet,w2022,+shibor,12ETF|w2022|+shibor|ElasticNet
12ETF,w22,+shibor,Ridge,,,0.3711985920246267,0.0580331568633838,-0.2305057045579495,,,,,,,,,ridge42,Ridge,Ridge,w2022,+shibor,12ETF|w2022|+shibor|Ridge
12ETF,w2022,base5,ElasticNet(a=0.01),12.0,5.0,0.2874615077132896,0.034077853227983,-0.1628461093748093,0.2092641534932155,0.5,42.0,,0.8058587187409315,,-0.7606789851665479,,v3,ElasticNet,ElasticNet,w2022,base5,12ETF|w2022|base5|ElasticNet
12ETF,w22,base5,Ridge,,,0.4689875449391709,0.0698037903392916,-0.1628461093748097,,,,,,,,,ridge42,Ridge,Ridge,w2022,base5,12ETF|w2022|base5|Ridge
12ETF,w2022,pure2,ElasticNet(a=0.01),12.0,2.0,0.5302967333857811,0.0796197804324376,-0.1924639375335484,0.413686748035897,0.5238095238095238,42.0,,0.5938590479423501,,-0.5876489823564439,,v3,ElasticNet,ElasticNet,w2022,pure2,12ETF|w2022|pure2|ElasticNet
12ETF,w22,pure2,Ridge,,,0.5226976524722959,0.0945067436399011,-0.1946126508454989,,,,,,,,,ridge42,Ridge,Ridge,w2022,pure2,12ETF|w2022|pure2|Ridge
6ETF,w2018,+comm,ElasticNet(a=0.01),6.0,3.0,0.8747565196155032,0.16398282622617,-0.2552009412663766,0.6425635634901757,0.5666666666666667,76.0,-0.2868795132024007,0.8515635214693971,0.4380390544836088,-0.4609600734866847,1.5717698701313854,v3,ElasticNet,ElasticNet,w2018,+comm,6ETF|w2018|+comm|ElasticNet
6ETF,w18,+comm,Ridge,,,0.813786971878461,0.1631440967736919,-0.2499930070302448,,,,,,,,,ridge42,Ridge,Ridge,w2018,+comm,6ETF|w2018|+comm|Ridge
6ETF,w2018,+gold,ElasticNet(a=0.01),6.0,3.0,0.7415876588173052,0.1313742290706476,-0.2761952981576745,0.4756570077295403,0.5555555555555556,76.0,-0.5081250106774204,0.92971848166004,0.4380390544836088,-0.4609600734866645,1.5717698701313854,v3,ElasticNet,ElasticNet,w2018,+gold,6ETF|w2018|+gold|ElasticNet
6ETF,w18,+gold,Ridge,,,0.8256377359876889,0.1660649694057461,-0.2492607023174048,,,,,,,,,ridge42,Ridge,Ridge,w2018,+gold,6ETF|w2018|+gold|Ridge
6ETF,w2018,+margin,ElasticNet(a=0.01),6.0,3.0,0.8710113966320208,0.1584191955688592,-0.2683782566189796,0.5902832724402453,0.5888888888888889,37.0,-0.5286660841171265,1.0891589675018651,0.4380390544836088,-0.1564746041550203,1.5717698701313854,v3,ElasticNet,ElasticNet,w2018,+margin,6ETF|w2018|+margin|ElasticNet
6ETF,w18,+margin,Ridge,,,0.8545110338868946,0.1661129571108182,-0.2594224799644388,,,,,,,,,ridge42,Ridge,Ridge,w2018,+margin,6ETF|w2018|+margin|Ridge
6ETF,w2018,+shibor,ElasticNet(a=0.01),6.0,3.0,0.6947550407271399,0.11860666795072,-0.2645571591274118,0.4483215209216795,0.5555555555555556,76.0,-0.5081250106774204,0.8172885762829609,0.4380390544836088,-0.073616539425115,1.5717698701313854,v3,ElasticNet,ElasticNet,w2018,+shibor,6ETF|w2018|+shibor|ElasticNet
6ETF,w18,+shibor,Ridge,,,0.8042762081176459,0.1593123479120539,-0.3201200442972333,,,,,,,,,ridge42,Ridge,Ridge,w2018,+shibor,6ETF|w2018|+shibor|Ridge
6ETF,w2018,base5,ElasticNet(a=0.01),6.0,5.0,0.5440263174068688,0.0897047923837019,-0.36497861026642,0.2457809577339917,0.5,90.0,-0.548807764732194,0.7632643493763233,-0.4110039962038393,-0.4609600734866763,1.6473279640484126,v3,ElasticNet,ElasticNet,w2018,base5,6ETF|w2018|base5|ElasticNet
6ETF,w18,base5,Ridge,,,0.5962819264055991,0.1024340865953117,-0.3933073249150187,,,,,,,,,ridge42,Ridge,Ridge,w2018,base5,6ETF|w2018|base5|Ridge
6ETF,w2018,pure2,ElasticNet(a=0.01),6.0,2.0,0.6612246016209438,0.1121804798515619,-0.276484640818568,0.4057385593624201,0.5444444444444444,90.0,-0.5077226248801087,0.8346013559267541,0.4380390544836088,-0.4609600734866801,1.5717698701313854,v3,ElasticNet,ElasticNet,w2018,pure2,6ETF|w2018|pure2|ElasticNet
