period,strategy,start,end,trading_days,cagr,annual_volatility,sharpe,sortino,max_drawdown,calmar,daily_win_rate,monthly_win_rate,annual_win_rate,best_month,worst_month,profit_factor,var_5_daily,cvar_5_daily,skew,kurtosis,annual_gross_turnover,avg_exposure,cash_day_share,avg_position_count,avg_max_single_weight
2020墙后,6ETF_8因子Ridge,2021-01-04,2026-06-18,1297,0.1594984863346387,0.22064989727290346,0.7812726962143669,1.1880307244556783,-0.2062909963159274,0.7731723108766821,0.5289128758673862,0.6212121212121212,0.8333333333333334,0.24205600048622888,-0.10164507696743341,1.1505898737601556,-0.020691674424901683,-0.031946188211048214,-0.029289828037272293,7.602533142356618,9.058634211246737,1.0,0.0,2.590909090909091,0.5120022001762226
2020墙后,8ETF_5因子Ridge,2021-01-04,2026-06-18,1297,0.11719826910140707,0.22732753063804548,0.601602936089601,0.8354989227584352,-0.3035247241596618,0.3861242916071567,0.5335389360061681,0.5454545454545454,0.6666666666666666,0.15988427031547015,-0.16278689978747907,1.108792420158531,-0.023135000971191515,-0.03349151911258891,-0.30379843799419104,2.302425189306686,9.194134010794032,1.0,0.0,2.6363636363636362,0.5064495511720059
2020墙后,8ETF_8因子等权,2021-01-04,2026-06-18,1297,0.085381139853413,0.24553309482770957,0.46045093103323403,0.5084268049017102,-0.2511951658314602,0.33989961379551237,0.5242868157286045,0.5606060606060606,0.6666666666666666,0.14307990762251777,-0.16215935707778628,1.0891663332687624,-0.023160358761100175,-0.03593614972163294,-2.6154546759335062,36.824382926423105,10.383234621742018,1.0,0.0,2.606060606060606,0.5226931646072493
2020墙后,8ETF_8因子Ridge,2021-01-04,2026-06-18,1297,0.11434776414560432,0.21777637189387689,0.6065308559041915,0.8515363029335486,-0.2258122196574195,0.506384306035704,0.5165767154973014,0.5909090909090909,0.6666666666666666,0.12579616806686866,-0.16297078082029004,1.111333318576854,-0.021522490543153094,-0.03135336761998819,-0.37339543870187686,3.5940134515053583,10.478163766680208,1.0,0.0,2.606060606060606,0.5224405041398602
2020墙后,沪深300ETF,2021-01-04,2026-06-18,1297,0.010601404426294314,0.18176918070243225,0.1488551255767193,0.09778319395131155,-0.421570230103136,0.025147421874881226,0.4865073245952197,0.5303030303030303,0.5,0.24793623607894477,-0.07833505980807698,1.0271051372524675,-0.016731595607324446,-0.025378184392820885,0.1490257513486001,8.619456589197407,0.0,1.0,0.0,,
2020墙后,8ETF等权,2021-01-04,2026-06-18,1297,0.03699414706712845,0.18544459249197606,0.2887735270957828,0.32409560164512213,-0.3096555253544063,0.11946871293443893,0.505011565150347,0.5,0.6666666666666666,0.2169822009286475,-0.09688278186427002,1.0525741142731724,-0.018208786530286163,-0.026586060748392436,-0.1525922382138852,6.8170274534670146,0.0,1.0,0.0,,
2023年以来,6ETF_5因子Ridge,2023-01-03,2026-06-18,815,0.25828776031001777,0.20356990166735867,1.2305763975883175,2.1793229996867134,-0.15228854332218023,1.696041965307834,0.5361963190184049,0.6666666666666666,1.0,0.24205600048622888,-0.08685337506886881,1.2582942680411442,-0.017966019211880287,-0.026886650580732672,0.43107205672471616,14.236892932652495,5.815020552305092,1.0,0.0,2.6904761904761907,0.4880662060446098
2023年以来,6ETF_8因子等权,2023-01-03,2026-06-18,815,0.26167704384701174,0.20706252506597225,1.2263279531024867,2.156716136672752,-0.1293634693785659,2.022804777144982,0.5435582822085889,0.6904761904761905,1.0,0.24205600048622888,-0.08595259690219792,1.2576884573158842,-0.018189789792025193,-0.027612598370286102,0.3627224900876967,13.682302287248959,6.126253893447174,1.0,0.0,2.6666666666666665,0.4876934030835142
2023年以来,6ETF_8因子Ridge,2023-01-03,2026-06-18,815,0.2047135859258422,0.19762728310055525,1.0411685095182104,1.7907743026461194,-0.16433425493020581,1.2457146321245431,0.5325153374233129,0.6428571428571429,1.0,0.24205600048622888,-0.08595259690219792,1.215195845472135,-0.01682861294857556,-0.02578273613932487,0.5394762402976107,15.973781340920414,9.650671977543038,1.0,0.0,2.6666666666666665,0.4930482718782819
2023年以来,8ETF_5因子Ridge,2023-01-03,2026-06-18,815,0.23001205832142624,0.2141735403557912,1.0743344732734361,1.7728181069065425,-0.20712088139003515,1.1105208551535857,0.5435582822085889,0.6190476190476191,0.75,0.15988427031547015,-0.16278689978747907,1.208336987756904,-0.019673392499268933,-0.030673074153534333,-0.27958005832848803,3.805671682053615,7.708684888703594,1.0,0.0,2.738095238095238,0.4803400836421398
