phase,path,suffix,size,modified
10_其他可审计文件,mvp_cn/outputs/second_round/industry_contribution.csv,.csv,1130,2026-06-22 10:59:20
10_其他可审计文件,mvp_cn/outputs/second_round/regime_metrics.csv,.csv,1242,2026-06-22 10:59:20
10_其他可审计文件,quant-research-platform/projects/strategy-progress-report/assets/figures/drawdowns.png,.png,199737,2026-06-22 10:59:20
10_其他可审计文件,quant-research-platform/projects/strategy-progress-report/assets/figures/equity_curves.png,.png,164079,2026-06-22 10:59:20
10_其他可审计文件,quant-research-platform/projects/strategy-progress-report/assets/tables/baseline_trade_log.csv,.csv,23698,2026-06-22 10:59:20
10_其他可审计文件,quant-research-platform/projects/strategy-progress-report/assets/tables/component_ablation.csv,.csv,3053,2026-06-22 10:59:20
10_其他可审计文件,quant-research-platform/projects/strategy-progress-report/assets/tables/industry_contribution.csv,.csv,1130,2026-06-22 10:59:20
10_其他可审计文件,quant-research-platform/projects/strategy-progress-report/assets/tables/regime_metrics.csv,.csv,1242,2026-06-22 10:59:20
08_课堂交付,quant-research-platform/projects/final-classroom-delivery/assets/figures/training_windows_equity.png,.png,191572,2026-06-22 10:59:36
08_课堂交付,quant-research-platform/projects/final-classroom-delivery/assets/tables/frequency_robustness.csv,.csv,8607,2026-06-22 10:59:36
10_其他可审计文件,mvp_cn/outputs/second_round/factor_spec_daily_returns.csv,.csv,366926,2026-06-22 10:59:36
10_其他可审计文件,mvp_cn/outputs/second_round/figures/factor_specs_equity.png,.png,261028,2026-06-22 10:59:36
10_其他可审计文件,mvp_cn/outputs/second_round/figures/factor_specs_rolling_5y_equity.png,.png,205727,2026-06-22 10:59:36
10_其他可审计文件,mvp_cn/outputs/second_round/figures/training_windows_equity.png,.png,191572,2026-06-22 10:59:36
10_其他可审计文件,mvp_cn/outputs/second_round/frequency_daily_returns.csv,.csv,432474,2026-06-22 10:59:36
10_其他可审计文件,mvp_cn/outputs/second_round/frequency_robustness.csv,.csv,8607,2026-06-22 10:59:36
10_其他可审计文件,mvp_cn/outputs/second_round/t1_execution_audit.csv,.csv,102189,2026-06-22 10:59:36
10_其他可审计文件,quant-research-platform/projects/strategy-progress-report/assets/figures/factor_specs_equity.png,.png,261028,2026-06-22 10:59:36
10_其他可审计文件,quant-research-platform/projects/strategy-progress-report/assets/figures/factor_specs_rolling_5y_equity.png,.png,205727,2026-06-22 10:59:36
10_其他可审计文件,quant-research-platform/projects/strategy-progress-report/assets/figures/training_windows_equity.png,.png,191572,2026-06-22 10:59:36
10_其他可审计文件,quant-research-platform/projects/strategy-progress-report/assets/tables/frequency_robustness.csv,.csv,8607,2026-06-22 10:59:36
08_课堂交付,quant-research-platform/projects/final-classroom-delivery/assets/figures/component_ablation_equity.png,.png,271172,2026-06-22 10:59:37
08_课堂交付,quant-research-platform/projects/final-classroom-delivery/assets/figures/frequency_equity_15bp.png,.png,312681,2026-06-22 10:59:37
10_其他可审计文件,mvp_cn/outputs/second_round/figures/component_ablation_equity.png,.png,271172,2026-06-22 10:59:37
10_其他可审计文件,mvp_cn/outputs/second_round/figures/factor_specs_expanding_equity.png,.png,259725,2026-06-22 10:59:37
10_其他可审计文件,mvp_cn/outputs/second_round/figures/factor_specs_rolling_8y_equity.png,.png,260160,2026-06-22 10:59:37
10_其他可审计文件,mvp_cn/outputs/second_round/figures/frequency_equity_15bp.png,.png,312681,2026-06-22 10:59:37
10_其他可审计文件,quant-research-platform/projects/strategy-progress-report/assets/figures/component_ablation_equity.png,.png,271172,2026-06-22 10:59:37
10_其他可审计文件,quant-research-platform/projects/strategy-progress-report/assets/figures/factor_specs_expanding_equity.png,.png,259725,2026-06-22 10:59:37
10_其他可审计文件,quant-research-platform/projects/strategy-progress-report/assets/figures/factor_specs_rolling_8y_equity.png,.png,260160,2026-06-22 10:59:37
10_其他可审计文件,quant-research-platform/projects/strategy-progress-report/assets/figures/frequency_equity_15bp.png,.png,312681,2026-06-22 10:59:37
