period,start,end,sample_days,rebalance_mode,cost_bps,cagr,ann_vol,sharpe,max_drawdown,calmar,monthly_win_rate,annual_gross_turnover
development,2021-02-24,2022-12-30,450,10d,0,0.0204315570261846,0.24894105740554284,0.20603071641434567,-0.23837067490502517,0.08571338330239327,0.43478260869565216,12.032037726519176
seen_holdout,2023-01-03,2026-06-18,815,10d,0,0.2516004572807362,0.20340547446375062,1.205053609179209,-0.2110153042388444,1.1923327466142182,0.6666666666666666,10.058623019276292
full_walk_forward,2021-02-24,2026-06-18,1265,10d,15,0.14524195022904562,0.22081679364876775,0.724691055103393,-0.27420101226244187,0.5296915172947371,0.5846153846153846,10.760628251101826
development,2021-02-24,2022-12-30,450,10d,15,0.00211731422917949,0.24917482611235695,0.13340612425045253,-0.24361303801385725,0.008691300951877019,0.43478260869565216,12.032037726519176
seen_holdout,2023-01-03,2026-06-18,815,10d,15,0.23284936864307948,0.20350312078449923,1.1303343443269631,-0.21620599590304268,1.0769792376502847,0.6666666666666666,10.058623019276292
full_walk_forward,2021-02-24,2026-06-18,1265,10d,30,0.1268483685718098,0.22107189176683775,0.6508426360641675,-0.2928287594548993,0.43318275434399967,0.5692307692307692,10.760628251101826
development,2021-02-24,2022-12-30,450,10d,30,-0.015896357354543422,0.24951728502176507,0.060891137146374126,-0.24882886504744495,-0.06388469983782796,0.43478260869565216,12.032037726519176
seen_holdout,2023-01-03,2026-06-18,815,10d,30,0.21435409971575714,0.20369757191653257,1.0551850473681486,-0.22136972960755597,0.9683080884444494,0.6428571428571429,10.058623019276292
full_walk_forward,2020-11-03,2026-06-18,1340,weekly,0,0.22286641180778366,0.22102704753950908,1.0213430386695865,-0.23054714002286725,0.9666847820609626,0.6470588235294118,16.742621333599974
development,2020-11-03,2022-12-30,525,weekly,0,0.12744219084475117,0.2448382875571448,0.6126727080690515,-0.23054714002286725,0.5527814868235216,0.6153846153846154,21.384079529173604
seen_holdout,2023-01-03,2026-06-18,815,weekly,0,0.28857127612173694,0.20432325604829962,1.3436217423216072,-0.1414920844067703,2.039487066231452,0.6666666666666666,13.752724949948256
